_lab_item,_lab_fragment,NaO,MgO,AlO,SiO,KO,CaO,FeO
s4,f2,0.53939885,0.252132635,0.179101965,0.852314235,0.074303294,0.32348582,0.003417657
s4,f3,0.543079262,0.252258733,0.177568292,0.883998423,0.07269374,0.345798169,0.003472432
s4,f3,0.54280779,0.255278544,0.180468325,0.877393235,0.0034603,0.340786192,0.00467559
s4,f3,0.5418858,0.251654038,0.184962903,0.887630257,0.069892286,0.349518076,0.003479732
s4,f4,0.544819899,0.252485868,0.178458357,0.81212582,0.070291809,0.302159577,0.003357697
s4,f4,0.543296537,0.249948596,0.173114856,0.810908545,0.057659515,0.300802914,0.004529245
s4,f4,0.543296537,0.253295117,0.175801458,0.810989639,0.067373737,0.298078024,0.003354341
s5,f1,0.54324221,0.255253018,0.18678445,0.898525673,0.076054887,0.356578809,0.003498224
s5,f1,0.544166507,0.254412071,0.184445731,0.890119104,0.083509073,0.352043687,0.004711259
s5,f1,0.544710946,0.251603712,0.187570595,0.948569707,0.072229986,0.393607917,0.003596119
s5,f2,0.538374965,0.258179552,0.181736035,0.887275276,0.081000496,0.361316852,0.003484607
s5,f2,0.532006272,0.249499093,0.18378292,0.881791187,0.066656681,0.365532531,0.004694329
s5,f2,0.542265253,0.254997892,0.185741381,0.894133666,0.083701364,0.358007981,0.003494378
s5,f3,0.544493105,0.250248714,0.176453128,0.840044846,0.058484121,0.316605107,0.003399592
s5,f3,0.545583181,0.251729545,0.178048374,0.839373079,0.065186688,0.313580241,0.004590804
s5,f3,0.546730109,0.253523185,0.178173052,0.83744474,0.065232335,0.314208029,0.003399931
s5,f4,0.542156811,0.257612181,0.191512921,0.925704694,0.080010292,0.385929719,0.00355429
s5,f4,0.542753512,0.257277503,0.189512556,0.932766852,0.082885097,0.387515279,0.004817983
s5,f4,0.543405207,0.256147968,0.186485834,0.927836265,0.085230153,0.37832563,0.003558202
s6,f1,0.49777854,0.223442761,0.219698308,0.842653026,0.173773943,0.2998119,0.073145842
s6,f1,0.495593126,0.224383194,0.223152474,0.839037397,0.171821351,0.305257377,0.003360048
s6,f1,0.496485997,0.225801271,0.225801271,0.839792871,0.171958863,0.303856418,0.003362737
s6,f2,0.528242405,0.227137436,0.225305054,0.827786507,0.170776431,0.318956675,0.003373853
s6,f2,0.532272342,0.231077991,0.228618638,0.84315877,0.17758605,0.330813668,0.004600915
s6,f2,0.534031742,0.233844246,0.233213718,0.867794798,0.177089504,0.347566245,0.003445797
s6,f3,0.530200522,0.231934564,0.226275952,0.863035028,0.182610465,0.342528641,0.084635625
s6,f3,0.529194098,0.229603815,0.219259351,0.811882219,0.165018119,0.308232781,0.003348308
s6,f3,0.52924702,0.229994473,0.216730637,0.799075376,0.157583469,0.302401402,0.003328612
s6,f4,0.53269833,0.234125028,0.219325138,0.834351919,0.174139252,0.322291134,0.003388391
s6,f4,0.526976143,0.231633245,0.224158923,0.851462347,0.17972992,0.33692329,0.004612432
s6,f4,0.531580837,0.235604671,0.219632409,0.837193544,0.169941673,0.325042284,0.003392799
s7,f1,0.404541885,0.07199922,0.168773112,0.902126973,0.476398781,0.00507058,0.003752624
s7,f1,0.402524224,0.003744003,0.172889952,0.900054466,0.472981029,0.003744003,0.005058931
s7,f1,0.404177961,0.003732414,0.165580135,0.89323998,0.473264902,0.003732414,0.003732414
s7,f2,0.401840514,0.004888841,0.163834255,0.847300386,0.441445813,0.004888841,0.003618123
s7,f2,0.401438875,0.003575322,0.161896182,0.828283328,0.424773157,0.003575322,0.004831492
s7,f2,0.400516626,0.069252225,0.163425181,0.84400235,0.436747524,0.003609089,0.003609089
s7,f3,0.400877253,0.005084798,0.166943474,0.90528995,0.481282915,0.005084798,0.003763146
s7,f3,0.404582341,0.005084798,0.17705409,0.906739573,0.481282915,0.003763146,0.005084798
s7,f3,0.404703734,0.003747374,0.173045623,0.89933471,0.473975332,0.003747374,0.003747374
s7,f4,0.406488354,0.073821888,0.165315419,0.872755353,0.454208016,0.004966698,0.003675375
s7,f4,0.404177961,0.003676846,0.172993718,0.873279163,0.454662452,0.003676846,0.004968188
s7,f4,0.404137545,0.080202548,0.171443759,0.877744263,0.458910535,0.003688999,0.003688999
s8,f1,0.434482331,0.005203104,0.18661642,0.917227267,0.393686646,0.005203104,0.003850701
s8,f1,0.435526341,0.003908115,0.186113235,0.934260474,0.411231073,0.003908115,0.005280682
s8,f1,0.431840056,0.003875037,0.192030705,0.923116346,0.400236363,0.003875037,0.003875037
s8,f2,0.442241131,0.003795269,0.186020202,0.894938749,0.380792756,0.005128203,0.003795269
s8,f2,0.428142155,0.003807053,0.181300392,0.901225297,0.384850628,0.003807053,0.005144125
s8,f2,0.436180121,0.005177153,0.187777036,0.909100164,0.38848528,0.003831496,0.003831496
s8,f3,0.434873541,0.004990097,0.181010543,0.856500823,0.360883532,0.004990097,0.00369306
s8,f3,0.437621893,0.003686418,0.177621571,0.854362246,0.356079948,0.003686418,0.004981123
s8,f3,0.434656159,0.003724584,0.190462491,0.869619082,0.368431674,0.003724584,0.003724584
s8,f4,0.442108479,0.00505438,0.189342071,0.875290017,0.364692772,0.00505438,0.003740635
s8,f4,0.443392454,0.003716028,0.180107749,0.864762825,0.366008032,0.003716028,0.005021633
s8,f4,0.440035444,0.003739513,0.183287375,0.874065468,0.371168181,0.003739513,0.003739513
s9,f1,0.401639644,0.004919738,0.164869669,0.861569115,0.444858066,0.004919738,0.003640989
s9,f1,0.403007543,0.003659971,0.171152553,0.86710084,0.451400639,0.003659971,0.004945387
s9,f1,0.403168778,0.003633351,0.169907688,0.85607268,0.440255517,0.003633351,0.003633351
s9,f2,0.403975923,0.00493995,0.173062929,0.862862438,0.448790093,0.00493995,0.003655947
s9,f2,0.407383613,0.00364609,0.165117159,0.861741446,0.442462307,0.00364609,0.004927123
s9,f2,0.406447707,0.003691214,0.170452264,0.878886073,0.461856981,0.003691214,0.003691214
s9,f3,0.403410752,0.079127089,0.174540233,0.911831559,0.483163584,0.005107731,0.00377974
s9,f3,0.405513952,0.003782009,0.17353083,0.915944047,0.48636301,0.003782009,0.005110286
s9,f3,0.404339665,0.00370712,0.173357386,0.884175241,0.465659779,0.00370712,0.00370712
s9,f4,0.404137545,0.003632624,0.166659912,0.855901483,0.439244093,0.004908436,0.003632624
s9,f4,0.403572149,0.003630445,0.169771816,0.853252296,0.441754933,0.003630445,0.004905982
s9,f4,0.400797086,0.004905491,0.166559946,0.855730319,0.443259456,0.003630082,0.003630082
s10,f1,0.431796874,0.004872735,0.177728175,0.825967378,0.337969373,0.004872735,0.003606202
s10,f1,0.437446879,0.003668766,0.172630812,0.85061131,0.349378296,0.003668766,0.00495727
s10,f1,0.435265104,0.003614506,0.176171029,0.825059314,0.341263627,0.003614506,0.003614506
s10,f2,0.432272112,0.005086832,0.184501073,0.887541498,0.37280492,0.005086832,0.003764275
s10,f2,0.434004663,0.003747374,0.186709751,0.879501508,0.369501677,0.003747374,0.005063487
s10,f2,0.43657286,0.003766534,0.191627863,0.887097839,0.371390949,0.003766534,0.003766534
s10,f3,0.436441907,0.081740965,0.19226128,0.883379841,0.368615936,0.005080224,0.003759761
s10,f3,0.43797213,0.003781631,0.190424403,0.891811938,0.375761743,0.003781631,0.005109775
s10,f3,0.438234992,0.003780874,0.194310089,0.89261493,0.371539535,0.003780874,0.003780874
s10,f4,0.438278818,0.004952811,0.181627026,0.846707483,0.346074918,0.004952811,0.003665465
s10,f4,0.436223741,0.003672069,0.179981718,0.84857229,0.349273499,0.003672069,0.004961734
s10,f4,0.433397482,0.003650833,0.176930195,0.842484512,0.34600571,0.003650833,0.003650833
s11,f1,0.404946629,0.083500722,0.174540233,0.885413953,0.460888099,0.005012603,0.003709716
s11,f1,0.404056726,0.07126856,0.163621409,0.887719024,0.464172049,0.003714542,0.005019123
s11,f1,0.402403485,0.003853783,0.174505329,0.938380277,0.507986707,0.003853783,0.003853783
s11,f2,0.405027627,0.003820019,0.174121839,0.927372463,0.494800811,0.005161645,0.003820019
s11,f2,0.402604737,0.003662534,0.170213797,0.868749898,0.451129879,0.003662534,0.00494885
s11,f2,0.41090222,0.075140168,0.173860852,0.898435825,0.471705702,0.003741009,0.003741009
s11,f4,0.401438875,0.003598997,0.157410222,0.844508903,0.43309421,0.003598997,0.003598997
s11,f4,0.402524224,0.003609089,0.162333893,0.846199611,0.436747524,0.003609089,0.004876634
s11,f4,0.403531794,0.069127683,0.159837117,0.843833566,0.430804883,0.081097755,0.003602958
s12,f1,0.403007543,0.073065425,0.176294392,0.856672141,0.444769104,0.003637713,0.003637713
s12,f1,0.402403485,0.003635531,0.176188647,0.856843492,0.44206427,0.089555208,0.004912364
s12,f1,0.402403485,0.003635531,0.176188647,0.856843492,0.44206427,0.089555208,0.003635531
s12,f2,0.394711563,0.003566038,0.167797061,0.829194941,0.428827731,0.004818464,0.003566038
s12,f2,0.399037453,0.003688262,0.162463812,0.877480979,0.463244633,0.003688262,0.004983614
s12,f2,0.401599482,0.070651213,0.178458357,0.875815348,0.45357257,0.003682365,0.003682365
s13,f1,0.393883539,0.00377974,0.190329214,0.910738017,0.487873075,0.00377974,0.00377974
s13,f1,0.391370734,0.003705267,0.187551838,0.888962701,0.467479398,0.080556216,0.005006591
s13,f1,0.390510665,0.005098545,0.192954668,0.908554867,0.489632583,0.00377332,0.00377332
s13,f2,0.396729734,0.005159581,0.185036903,0.925241957,0.50328433,0.005159581,0.003818109
s13,f2,0.390237403,0.00377483,0.179765869,0.908100703,0.488947577,0.00377483,0.005100585
s13,f2,0.400196341,0.003847622,0.183250722,0.938661833,0.513502696,0.003847622,0.003847622
s13,f3,0.394751037,0.003788065,0.18358087,0.914205406,0.491840894,0.003788065,0.003788065
s13,f3,0.397126663,0.003799446,0.18308587,0.914754094,0.491005475,0.00513436,0.00513436
s13,f3,0.404177961,0.085486227,0.185110932,0.913109017,0.48841003,0.003797927,0.003797927
s13,f4,0.408280843,0.005071595,0.173322718,0.868141985,0.47592262,0.005071595,0.003753374
s13,f4,0.398240175,0.003703785,0.171049892,0.859417882,0.467619663,0.003703785,0.005005089
s13,f4,0.406407064,0.003722723,0.17081059,0.863380311,0.469963616,0.003722723,0.003722723
s14,f1,0.548317928,0.259629413,0.186653747,0.903119859,0.067380474,0.356828502,0.003511542
s14,f1,0.548317928,0.259395851,0.188115339,0.918236772,0.079666987,0.366997589,0.004782461
s14,f1,0.546948845,0.259811217,0.190519639,0.942612503,0.08830134,0.386431754,0.00358463
s14,f2,0.54755082,0.259214338,0.186392614,0.891990319,0.066977402,0.348749981,0.003490885
s14,f2,0.543568253,0.254183203,0.183470755,0.880117375,0.063222186,0.343077126,0.004686356
s14,f2,0.545474075,0.254412071,0.187046132,0.86458989,0.062730971,0.328079278,0.003440976
s14,f3,0.54324221,0.253295117,0.17922738,0.841810794,0.058554344,0.319819022,0.003403673
s14,f3,0.542699239,0.251528242,0.179783847,0.811232973,0.053928294,0.296176417,0.004529245
s14,f3,0.543840105,0.249299573,0.176329654,0.819222139,0.057884826,0.302794779,0.003364755
s14,f4,0.541073581,0.25789571,0.191283243,0.905561578,0.081798203,0.369908352,0.003518924
s14,f4,0.544710946,0.261348634,0.187458086,0.911284624,0.086882383,0.366850819,0.004765752
s14,f4,0.54280779,0.256199203,0.185296136,0.908282341,0.081798203,0.363818559,0.003518924
s15,f1,0.504594572,0.254870425,0.171203906,0.826463107,0.143201865,0.315719853,0.003347974
s15,f1,0.508494947,0.260904719,0.176930195,0.829112025,0.146944546,0.318033041,0.07563017
s15,f2,0.531208861,0.259292114,0.177834844,0.813588963,0.138664213,0.303158351,0.003345965
s15,f2,0.527239697,0.251025689,0.167579067,0.794374712,0.133774464,0.292965624,0.003311017
s15,f2,0.526660053,0.256506827,0.16838538,0.791520104,0.137160981,0.292029633,0.066476951
s15,f3,0.530200522,0.261950428,0.182409704,0.876691602,0.156124736,0.341468447,0.003447865
s15,f3,0.530359606,0.254641145,0.175748726,0.870837401,0.15352375,0.342974218,0.004643903
s15,f3,0.52508244,0.257303232,0.16696017,0.807913727,0.140380316,0.307647694,0.003333275
s15,f4,0.532858163,0.257947294,0.179424639,0.890564275,0.167394831,0.352995489,0.003473821
s15,f4,0.53269833,0.259733285,0.175344968,0.854447686,0.149210085,0.329558961,0.004610126
s15,f4,0.532112684,0.262816292,0.182884586,0.889674156,0.159358324,0.354764887,0.003473127
s16,f1,0.399956295,0.169195572,0.250649432,0.904656469,0.368394833,0.229305524,0.003573892
s16,f1,0.399836326,0.170128712,0.259889172,0.911831559,0.376739994,0.230593237,0.003593962
s16,f1,0.398758224,0.17538004,0.258774048,0.905561578,0.369945345,0.234335835,0.003578184
s16,f2,0.518767227,0.256891876,0.177568292,0.864416989,0.153569814,0.378249972,0.074742979
s16,f2,0.524295407,0.253954541,0.175029631,0.844340018,0.151086917,0.359047711,0.003405716
s16,f2,0.519442063,0.253371117,0.174749807,0.831852614,0.143603392,0.358043783,0.003383313
s16,f3,0.400997535,0.162545064,0.266468298,0.892882755,0.370130364,0.236809324,0.003565682
s16,f3,0.40171998,0.168570705,0.269955,0.909282002,0.37859055,0.235392723,0.004870786
s16,f3,0.399037453,0.173374723,0.266788252,0.898076522,0.372469546,0.237592086,0.003577468
s16,f4,0.400516626,0.160093061,0.264186496,0.879501508,0.362583676,0.230847029,0.003535502
s16,f4,0.401358595,0.16054195,0.266628227,0.884263663,0.368026622,0.230847029,0.004791077
s16,f4,0.397802352,0.156734812,0.257148896,0.868749898,0.355404039,0.239356789,0.003508734
s17,f1,0.54771511,0.242610015,0.19928885,0.847978498,0.148035969,0.314711164,0.076750145
s17,f1,0.55029543,0.242367527,0.200488177,0.876603937,0.146680284,0.329097901,0.003455804
s17,f1,0.550901088,0.246276596,0.196498595,0.873978066,0.151026494,0.329624879,0.003453041
s17,f2,0.54574688,0.247634849,0.205399175,0.896282164,0.159008121,0.344727855,0.003488442
s17,f2,0.544112093,0.244803361,0.201311866,0.879501508,0.156546843,0.332372151,0.003456841
s17,f2,0.550515592,0.246670954,0.202300715,0.900054466,0.155268407,0.35193809,0.083835394
s17,f3,0.546074427,0.24716479,0.199787695,0.854105975,0.142801461,0.317524595,0.003417999
s17,f3,0.546620774,0.240075937,0.2028071,0.879149778,0.148986438,0.331973544,0.004671383
s17,f3,0.545255929,0.243679851,0.199069753,0.879413562,0.155517036,0.333604206,0.003457533
s17,f4,0.546183652,0.244289813,0.199767717,0.894580845,0.158769788,0.341912644,0.003483213
s17,f4,0.546675439,0.239069733,0.197621835,0.895654986,0.155750486,0.347566245,0.085888958
s17,f4,0.546894153,0.243411951,0.202584134,0.906105078,0.159773195,0.35320735,0.003505227
s18,f1,0.397523988,0.168351706,0.250048595,0.875290017,0.35822285,0.221374376,0.003514352
s18,f1,0.397961505,0.162058159,0.244827842,0.855217035,0.345832751,0.212035832,0.004682608
s18,f1,0.396769409,0.172872664,0.256481177,0.908282341,0.375724168,0.230870115,0.003587858
s18,f2,0.379386426,0.154308721,0.256763462,0.886211184,0.36001845,0.209989027,0.003503124
s18,f2,0.382089655,0.162658885,0.257663708,0.884528981,0.356044342,0.207587986,0.004729669
s18,f2,0.381593261,0.162740235,0.25836034,0.883379841,0.357685919,0.206201795,0.003501724
s19,f1,0.54280779,0.238806901,0.197542802,0.849081587,0.13994581,0.316320291,0.003405035
s19,f1,0.544057685,0.24207686,0.199328712,0.851206946,0.141324022,0.315183585,0.076765497
s19,f1,0.5418858,0.238568213,0.196047167,0.859074184,0.148406522,0.317937645,0.003418341
s19,f2,0.543785724,0.239548351,0.199368581,0.876516281,0.145278891,0.328900502,0.080186509
s19,f2,0.544547557,0.238974124,0.195909982,0.855217035,0.144988623,0.316098944,0.071511286
s19,f2,0.541073581,0.241496572,0.200247736,0.875552643,0.156312198,0.338815353,0.00345166
s19,f3,0.542916362,0.243996841,0.198017474,0.853422964,0.142601679,0.318701612,0.003413217
s19,f3,0.545146889,0.236785645,0.199328712,0.881791187,0.157820021,0.337159219,0.08292655
s19,f3,0.539830542,0.236312547,0.196439654,0.838617983,0.141465416,0.309282556,0.081105865
s19,f4,0.545474075,0.239740066,0.196537898,0.861569115,0.149868056,0.322774933,0.046231218
s19,f4,0.545146889,0.24222215,0.198910561,0.860880135,0.142089235,0.324944786,0.077173434
s19,f4,0.544329781,0.235934749,0.194038245,0.860019685,0.147533502,0.323227135,0.00342313
s20,f1,0.395145985,0.166326925,0.262055229,0.931555043,0.396928149,0.244338676,0.003649008
s20,f1,0.397563742,0.166160681,0.260565763,0.928485978,0.392232697,0.246720293,0.004925645
s20,f1,0.400516626,0.175099657,0.260383431,0.923116346,0.388213435,0.240003925,0.003634077
s20,f2,0.396174701,0.173011018,0.246621625,0.868141985,0.350673391,0.21502521,0.003491234
s20,f2,0.399037453,0.172441022,0.245686241,0.853935171,0.340513673,0.206759293,0.004676993
s20,f2,0.395027459,0.164671944,0.249823653,0.863035028,0.350883858,0.212843101,0.003478688
s20,f3,0.399716393,0.171152553,0.250198669,0.8663208,0.352607408,0.213653443,0.003491932
s20,f3,0.398837984,0.16951735,0.250048595,0.870924489,0.349063997,0.219654373,0.00472636
s20,f3,0.396491768,0.169432612,0.251352234,0.89601332,0.367842655,0.227592165,0.003557846
s20,f4,0.400036294,0.168941969,0.262160072,0.901766195,0.3712053,0.228298796,0.003568892
s20,f4,0.400676865,0.171683949,0.254997892,0.887719024,0.361461407,0.221751033,0.004786767
s20,f4,0.403047846,0.17719579,0.256968955,0.885148369,0.359442881,0.222840279,0.003537624
s21,f1,0.53939885,0.246744967,0.199667859,0.877480979,0.18088388,0.365605645,0.003467921
s21,f1,0.537191842,0.238639794,0.192858214,0.841389994,0.167696413,0.338476707,0.073977077
s21,f1,0.537568008,0.243144345,0.195381739,0.834518806,0.16445801,0.335712547,0.003393478
s21,f2,0.538321131,0.245146325,0.197898699,0.860105692,0.173080236,0.352149316,0.003437193
s21,f2,0.541235928,0.248851238,0.196596868,0.862172424,0.170537511,0.353277999,0.004649944
s21,f2,0.540694962,0.250198669,0.199508188,0.8651088,0.181772386,0.362910149,0.003452005
s21,f3,0.538321131,0.246942441,0.199867626,0.90257815,0.186691081,0.388096989,0.003512244
s21,f3,0.541560767,0.245784535,0.198453592,0.888429484,0.180125761,0.37527357,0.004712202
s21,f3,0.538967504,0.247634849,0.207401241,0.905561578,0.196420011,0.393175186,0.003522093
s21,f4,0.540694962,0.245661674,0.197859123,0.859933688,0.171221027,0.349937749,0.003436506
s21,f4,0.537460505,0.244338676,0.203152165,0.868141985,0.174644989,0.358115399,0.00466205
s21,f4,0.5346195,0.246967137,0.196459299,0.862431115,0.171323791,0.358007981,0.003438569
s22,f1,0.401238205,0.004980126,0.228481508,0.873803288,0.447535238,0.004980126,0.003685312
s22,f1,0.397484237,0.003683838,0.229122153,0.875114976,0.444546775,0.003683838,0.004977637
s22,f1,0.399636458,0.003683838,0.233493743,0.872929921,0.444546775,0.003683838,0.003683838
s22,f2,0.394790514,0.004811242,0.211951035,0.836356769,0.412425374,0.003560693,0.003560693
s22,f2,0.398240175,0.003582838,0.204681534,0.839876854,0.414617032,0.004841164,0.004841164
s22,f2,0.398240175,0.003582838,0.204681534,0.839876854,0.414617032,0.003582838,0.003582838
s22,f3,0.401157966,0.075607484,0.21498221,0.849761124,0.422147711,0.004880537,0.003611616
s22,f3,0.399796345,0.003566752,0.210788504,0.828780447,0.409589435,0.003566752,0.004819428
s22,f3,0.395264547,0.003630445,0.220645045,0.857614998,0.42878485,0.003630445,0.003630445
s22,f4,0.398917759,0.00503219,0.214402541,0.893865467,0.454389736,0.00503219,0.00372384
s22,f4,0.397961505,0.003815056,0.218799389,0.931182495,0.477973494,0.003815056,0.005154939
s22,f4,0.400476576,0.003835329,0.223353402,0.939319126,0.480801873,0.003835329,0.003835329
s23,f1,0.531793512,0.265590402,0.195010866,0.852740498,0.188718272,0.343489066,0.003426897
s23,f1,0.538159658,0.267429312,0.195616337,0.851547497,0.186859179,0.352536893,0.004644832
s23,f1,0.534672965,0.265059752,0.186821811,0.83744474,0.185222032,0.340752116,0.003407079
s23,f2,0.540803112,0.259292114,0.183874835,0.842484512,0.185518625,0.334606522,0.076819251
s23,f2,0.541669089,0.262396122,0.189569418,0.833684705,0.18066695,0.329493056,0.003399252
s23,f2,0.541669089,0.263579566,0.185240555,0.839876854,0.177728175,0.334506155,0.00340776
s23,f3,0.541831615,0.267242177,0.19382492,0.877393235,0.191398048,0.360414688,0.003475559
s23,f3,0.537729303,0.263184493,0.185815692,0.874152879,0.191570384,0.362765014,0.004680736
s23,f3,0.537030709,0.263685018,0.189550462,0.868836777,0.195147421,0.357006961,0.003456496
s23,f4,0.533177974,0.268931118,0.201392407,0.899154861,0.209004395,0.377871911,0.003511191
s23,f4,0.533604687,0.270955684,0.194932877,0.897089181,0.20439518,0.381135624,0.088770579
s23,f4,0.533177974,0.268366955,0.193398974,0.892168735,0.200568389,0.373215231,0.003497174
s24,f1,0.394474808,0.00504176,0.210641003,0.896461439,0.454935331,0.00504176,0.003730922
s24,f1,0.397762574,0.003723467,0.207650272,0.89306135,0.450588848,0.003723467,0.005031687
s24,f1,0.392075835,0.003680525,0.209443765,0.878710313,0.444457874,0.003680525,0.003680525
s24,f2,0.401639644,0.004936987,0.203742161,0.864849306,0.437796977,0.003653755,0.003653755
s24,f2,0.491890081,0.003655582,0.207193943,0.86710084,0.439903454,0.004939456,0.004939456
s24,f2,0.398957653,0.003667665,0.203681048,0.873453836,0.443836068,0.003667665,0.003667665
s24,f3,0.396650396,0.004880049,0.198870782,0.851292071,0.422105498,0.003611255,0.003611255
s24,f3,0.395304075,0.003621018,0.207671038,0.853764401,0.420672777,0.004893243,0.004893243
s24,f3,0.393175186,0.003598278,0.203152165,0.845100267,0.416445366,0.003598278,0.003598278
s24,f4,0.395501777,0.00503521,0.204333871,0.897089181,0.456210935,0.003726447,0.003726447
s24,f4,0.399476635,0.003656313,0.20390522,0.866580735,0.434699627,0.004940444,0.004940444
s24,f4,0.395739149,0.00365741,0.203131851,0.869793023,0.434830056,0.00365741,0.00365741
s25,f1,0.535422031,0.246917748,0.203966401,0.922101477,0.184058801,0.364510471,0.003529144
s25,f1,0.534459138,0.241448278,0.203253766,0.92173271,0.188491946,0.371093955,0.086960612
s25,f1,0.534298825,0.246917748,0.208065988,0.930717021,0.18135479,0.376401081,0.003546479
s25,f2,0.52924702,0.241544876,0.197641598,0.902487896,0.169941673,0.349098906,0.083517424
s25,f2,0.534352257,0.244803361,0.197365093,0.896999477,0.176259137,0.34600571,0.003482169
s25,f3,0.483646989,0.213183922,0.172596289,0.816115002,0.134216649,0.268635456,0.003293515
s25,f3,0.518559761,0.235534001,0.195264545,0.854105975,0.148332337,0.30770923,0.004583007
s25,f3,0.513348668,0.232561633,0.190767475,0.839037397,0.149299638,0.306174524,0.003365428
s25,f4,0.515818665,0.234969397,0.189759082,0.845353835,0.151798697,0.304130011,0.003375202
s25,f4,0.493072035,0.22573354,0.181463636,0.845607479,0.146636286,0.294994077,0.004530604
s25,f4,0.511094896,0.232794311,0.180179807,0.828449001,0.143030126,0.294198668,0.003343958
s26,f1,0.400196341,0.169178654,0.2580763,0.892972048,0.366191082,0.227251033,0.003552513
s26,f1,0.400716934,0.16493563,0.255943132,0.90158586,0.371836886,0.229167982,0.004826663
s26,f1,0.399796345,0.171032788,0.251427651,0.873978066,0.355439581,0.221728859,0.003509085
s26,f2,0.397643263,0.168503291,0.236619953,0.817176642,0.32245232,0.195459907,0.00338196
s26,f2,0.401358595,0.167964942,0.24212528,0.811232973,0.316731775,0.193340963,0.004555136
s26,f2,0.403209097,0.170537511,0.241544876,0.817994227,0.320171016,0.196478946,0.003386698
